window_start,utc_hour,phi_SB2,phi_BS2,phi_BB1,phi_SS1,eta,mu_B,mu_S,n_B,n_S,month
1767826800.0,23,0.02663684481298517,0.021134702599430406,0.7927599268075152,0.7442841016141257,0.8341398108341451,1.058725084869486,0.7746109420996666,23320,15796,2026-01
1767830400.0,0,0.028868387108367265,0.02275725058663318,0.7096494439879838,0.6787837288342894,0.7675260032398734,0.9913635387291045,0.8528843129633398,15723,12897,2026-01
1767834000.0,1,0.03070831076892702,0.021943902214895908,0.693741390779674,0.6392612365492442,0.7459777460852092,0.9279074349466458,0.8700782275939128,13828,11304,2026-01
1767837600.0,2,0.016411880504369872,0.004920204113849138,0.7134009544144148,0.7383483792784681,0.7959677158415835,1.1095299792723146,1.2630350014795015,20093,22123,2026-01
1767841200.0,3,0.014986705663571666,0.0008169498978755774,0.7187209452265657,0.6781974595015038,0.7833069908010116,1.0784707496915917,1.1181856654630946,18773,17285,2026-01
1767844800.0,4,0.007768859319406428,0.005989482208176564,0.7083697252856367,0.6532681615948761,0.7757838150104385,1.042579832624583,0.9262026603022907,17079,12837,2026-01
1767848400.0,5,0.006321611256265194,0.005277431629357893,0.6211725270895121,0.6402113893975735,0.7239146398137003,0.9655205837313505,0.7552126478262373,11314,10146,2026-01
1767852000.0,6,0.028041778858713673,0.01524820377109227,0.7262751895700735,0.8150467618440923,0.8567051757293628,1.4286572928985162,1.3026512964369628,30384,34004,2026-01
1767855600.0,7,0.021785875700719333,0.010282374957213724,0.7623709681017339,0.7395374355548354,0.8283436957181158,1.7803822563679428,1.282003402125205,38349,25687,2026-01
1767859200.0,8,0.000960839096593828,0.034147755246823,0.7487963428312363,0.5987371359988266,0.8570935545220346,1.208570650950891,1.1431378357535285,20428,34173,2026-01
1767862800.0,9,0.009341260937947293,0.01614998971730858,0.6277413494209143,0.6901510950258445,0.7912077357333364,1.7652094514602623,1.1425197033470393,21823,21620,2026-01
1767866400.0,10,0.006945269880178135,0.013155806638251435,0.7195893601367216,0.6764722668144004,0.7870851209809997,1.370980295803974,1.0275390692173063,23022,17643,2026-01
1767870000.0,11,0.004528422107515565,0.006226692587103321,0.7182313836158696,0.7148610310025877,0.7880557336574404,1.1927073667601293,1.1244348734273757,18944,19353,2026-01
1767873600.0,12,0.0070046713129652775,0.00842054032869027,0.7139719261449674,0.742505840127421,0.7990008692356464,1.4165118508784798,1.108778219758011,24916,20449,2026-01
1767877200.0,13,0.024119280291583257,0.02729433277689021,0.6149521354985624,0.6163787300425533,0.7054389900787172,1.4582071774905376,0.9925103726561488,17209,12708,2026-01
1767880800.0,14,0.03936541214735792,0.027837102743772678,0.7875099633236121,0.8298099541494145,0.8847658822331843,2.3464752709127294,1.3878560588469535,60931,48532,2026-01
1767884400.0,15,0.00918893250960071,0.019911707171917554,0.822680806366607,0.8187775086160762,0.8774500812660573,2.3946984516141843,1.2780409352338675,62981,44783,2026-01
1767888000.0,16,0.01268203589960707,0.018234310120581687,0.7872440811156157,0.8272287219345148,0.8653976813965535,1.5716844995709487,1.2091834870614822,35822,36296,2026-01
1767891600.0,17,0.02616217499148647,0.030658958357893448,0.8025319795262617,0.7930591422866649,0.8611672763107462,1.2526255464440255,1.299671699445886,34084,32562,2026-01
1767895200.0,18,0.02999893537462102,0.029901233304433415,0.7508814950084475,0.7868063658263399,0.8429440184992053,0.9383988906642227,0.9355303332750103,20867,22151,2026-01
1767898800.0,19,0.012219104820772956,0.009976894919739734,0.7511446165007415,0.768279469257546,0.8153986537362158,0.7934835986788226,0.904698111976268,15819,17426,2026-01
1767902400.0,20,0.01923661221597991,0.030766106171964708,0.7516281428087305,0.8108025100527502,0.8548106749582158,0.9401192154283584,0.9330574526800783,20808,25291,2026-01
1767906000.0,21,0.023754234248201625,0.025499286573825344,0.7069072320553041,0.7169113093286889,0.8281220216927226,0.8372629943751578,0.9253067473476301,18542,15092,2026-01
1767909600.0,22,0.02937791374374597,0.029215960643841687,0.6615006192485928,0.7397113462119812,0.8189468444754612,0.8362067352631662,0.769022605855573,13498,16401,2026-01
1767913200.0,23,0.028036057299017054,0.02932352850761099,0.5933580074075975,0.7292632066750063,0.7924830707515975,0.7155748775064452,0.6783630910233063,9958,12654,2026-01
1767916800.0,0,0.023509104475151362,0.039799931584184434,0.537293028902125,0.5875824588713561,0.6771153512721396,0.7785926874386608,0.6637367775533226,8184,7982,2026-01
1767920400.0,1,0.03595739293612801,0.03777631302545333,0.7310735663961785,0.7572791085556229,0.8439741707144263,0.8020426390826284,1.1614797018171448,19460,25561,2026-01
1767924000.0,2,0.029478783770576954,0.04360654760139282,0.6689090863372464,0.6586845484339515,0.7557168392991858,0.8918037249417403,1.0774829246313014,13526,15422,2026-01
1767927600.0,3,0.029780269744202642,0.026792392281459965,0.6529832149030688,0.6372015914051902,0.7514481743269527,0.8098067583646609,0.843600773294861,12368,10950,2026-01
1767931200.0,4,0.030773057229450666,0.01759823862538723,0.5751403326755625,0.5805910732737336,0.6971052709569336,0.7769885169979059,0.6459387132420286,9365,7573,2026-01
1767934800.0,5,0.028890769560611543,0.03118568278533615,0.6257775137907694,0.6179818604163976,0.7130184114449462,0.7298566887125837,0.7133306362500564,9303,8740,2026-01
1767938400.0,6,0.03304654152187155,0.03207413872613903,0.5883258124599979,0.5675072870853544,0.7013134411717261,0.710366066579292,0.7355084510818232,8934,8151,2026-01
1767942000.0,7,0.02716301678312224,0.02443510167169992,0.5764556049486034,0.6591537787438488,0.7089894429162756,0.9371617573020636,1.0435984354092132,10724,13361,2026-01
1767945600.0,8,0.04489954976644222,0.03158901778553087,0.7246251930870308,0.8171383476258653,0.8611993925064791,1.3195253123729138,1.2727992234771848,30455,34058,2026-01
1767949200.0,9,0.03812040250329533,0.03962496688617644,0.7150955822643408,0.6611948053794076,0.7608464565916643,1.121404921017963,1.0628246346127261,17854,14503,2026-01
1767952800.0,10,0.003306435400323967,0.017848109834994862,0.6386929704686056,0.5510603925064393,0.6696057720055287,0.8275541050662003,0.9564187106157244,9121,9230,2026-01
1767956400.0,11,0.004147053478736758,0.0028513722221657893,0.5776334889488826,0.6274686260314737,0.6728206085102122,1.0795715662917107,1.1198641218644882,11602,12364,2026-01
1767960000.0,12,0.019734437528258753,0.017837950958240516,0.6137202266067058,0.6694559570257513,0.7301897815699054,1.21054979358362,1.139395594504908,14898,15716,2026-01
1767963600.0,13,0.030178648314126155,0.027705398746458748,0.7587633707848569,0.7756152248760673,0.8309652591284123,1.1884033151781022,1.178117046698245,24411,25108,2026-01
1767967200.0,14,0.037210501017500786,0.03156475225690292,0.8213662089883038,0.8299980537583558,0.885751320949878,1.3030300789513785,1.3461281258669977,41284,41935,2026-01
1767970800.0,15,0.014864930067708058,0.028330521749183702,0.8831508264112228,0.863543591351183,0.9241171735233755,1.9931176198558902,1.681330319265344,86067,83979,2026-01
1767974400.0,16,0.013764343734274582,0.0205048739224424,0.8300887147677375,0.8195670525967991,0.875655366566791,1.2855433942298622,1.2156771951521064,33449,33976,2026-01
1767978000.0,17,0.012604103006266285,0.013877206208743937,0.7768750470555663,0.8154121294976924,0.8502732045026001,1.0280272537878041,0.9891897709806697,20855,25339,2026-01
1767981600.0,18,0.03199343458430751,0.03671858359427361,0.7691791170314737,0.8485630023958787,0.8835161956384341,0.9860667005515484,0.9171183702209212,23172,30454,2026-01
1767985200.0,19,0.017011065442742737,0.010417792066356703,0.7857783532968798,0.8417154165690747,0.8743797542007232,0.8738505444065173,0.7826226634908887,20435,23455,2026-01
1767988800.0,20,0.007714066176020407,0.003996708513101893,0.8077281518921369,0.7992592203241474,0.8464366677081709,0.7675274723468546,0.7979204682334023,17373,17837,2026-01
1767992400.0,21,0.021530297978366912,0.020001115507789217,0.6716180871463168,0.7365585515392625,0.8134391241892945,0.6788480582383453,0.6539577547076277,13727,11192,2026-01
1767996000.0,22,0.005412317709769609,0.008446285514270508,0.6742320564453301,0.7216673898298279,0.7804844837962692,0.7647176509523796,0.6470561398915241,12518,10682,2026-01
1767999600.0,23,0.0053469916940911575,0.004899959900644626,0.49731254648038303,0.5403468704588971,0.6188502508066808,0.6448230978797062,0.6685056133322019,4960,6384,2026-01
1768003200.0,0,0.0013980526628184968,0.007204029051490867,0.42507382001342214,0.5047101045911991,0.5705712113521614,0.7670624013554425,0.6664687434806781,5275,5744,2026-01
1768006800.0,1,0.00016543453157109387,0.01119101094888297,0.4629082028682744,0.4389332597183914,0.5185158063831401,0.6753886605814716,0.6973406561407486,5062,5141,2026-01
1768010400.0,2,0.003504545482644567,0.00811853593973599,0.4547723069731742,0.3519703170634182,0.5379974409618358,0.6626295588105161,1.0867559816845032,5232,6783,2026-01
1768014000.0,3,0.001746369861328998,0.0008162974088254513,0.4380371265231103,0.40710027259213805,0.5759634691665438,0.6132238820730883,0.6108016371269932,5255,4831,2026-01
1768017600.0,4,0.007492958563848973,3.439763320556038e-05,0.37531738979546314,0.5244225931299197,0.6094454577065187,0.7317175900208162,0.7538522481662525,5425,6992,2026-01
1768021200.0,5,0.006103107551214024,0.0022527647038531077,0.39031131799101004,0.29544207240327625,0.5140706948665275,0.6112813935902395,0.5711879679084156,4615,3465,2026-01
1768024800.0,6,0.0012059146092371434,0.003381381861587458,0.28442702457586383,0.4635981538443064,0.5690325459806381,0.585326431886397,0.6107350388967591,3618,5185,2026-01
1768028400.0,7,0.0003589652283983804,0.013265931469560307,0.453660842215893,0.4254745297185905,0.5507030574016082,0.8407763409489566,0.6273248715051745,6760,4847,2026-01
1768032000.0,8,0.0036825236262943476,0.003835597068611623,0.4706247254594222,0.5034034421759472,0.6079947996366201,0.9096304733007072,0.7588951815413032,6826,7193,2026-01
1768035600.0,9,0.0004498024151601848,0.008863772514412591,0.44146716764036953,0.4370214917865015,0.5295210686028112,0.8419596541501282,0.7593232400951959,6435,5848,2026-01
1768039200.0,10,0.00029449178478089795,0.012965622688628367,0.40854932501898367,0.37806653228423637,0.4880779871305636,0.7885699113755358,0.7677597872003856,5557,5277,2026-01
1768042800.0,11,3.189332553287528e-05,6.116721749741948e-05,0.22636554227013955,0.34012621962192285,0.46305713355674116,0.7755521224415696,0.7589500004953608,4503,5113,2026-01
1768046400.0,12,0.0024753833267903837,0.011863378329360899,0.35941620217194176,0.3765946014995762,0.4560101716491362,0.771191756479719,0.825598514528282,5122,5391,2026-01
1768050000.0,13,0.008499038077551918,0.0015637722097045746,0.29400733284962044,0.3479759908472879,0.42991061482936255,0.7809091305837288,0.930873512919344,4549,5914,2026-01
1768053600.0,14,0.010364336072531566,3.595825520257477e-05,0.3459389930328049,0.39632438871114445,0.4563725965387064,0.8056280209596772,1.0085738693977924,5080,6693,2026-01
1768057200.0,15,0.00010564206200058058,0.013540487697942053,0.25168258519880654,0.23908452003460517,0.38768336353545785,1.1480812108109903,0.9199576471030649,6770,5021,2026-01
1768060800.0,16,5.140660891497822e-05,0.008169964852669069,0.22999640802431226,0.30189505248189225,0.4507056670223481,1.1522804708235157,0.9861324450940918,7542,6252,2026-01
1768064400.0,17,0.0025515978911567006,0.020368890150591526,0.21429882286007623,0.38974731337573126,0.5047727086542146,1.0093404662005128,0.8544930712097947,5665,6491,2026-01
1768068000.0,18,0.01894065013665345,0.028794651730692372,0.23792422903753235,0.24137283362365772,0.3710136689741474,0.9276260326156409,0.8654491894578031,5339,4883,2026-01
1768071600.0,19,0.005051021450286346,0.0031108327384469234,0.16524963167365492,0.1600399380725466,0.3566542102245263,0.9739234905269336,0.8479984535690885,5513,4117,2026-01
1768075200.0,20,7.574854283700578e-05,3.059023205018258e-07,0.11761552147784539,0.2713739987514076,0.3783516616170684,1.0025489412001238,0.8702051444998382,4750,5079,2026-01
1768078800.0,21,0.00921720539633871,0.006474285164919491,0.22762253696609874,0.3697699811652072,0.4456283981598927,0.8715573873188598,0.839223346054622,4961,5560,2026-01
1768082400.0,22,0.019916994658590002,0.009681017619773701,0.43435095526198736,0.502359688576315,0.5899165572983418,0.8294152676485798,0.8270864648856138,6357,7424,2026-01
1768086000.0,23,0.003171997901685099,0.012007433370274934,0.434199845559021,0.4384652499060438,0.5536250181391179,0.741917908344441,0.6463667851829319,6010,4992,2026-01
1768089600.0,0,0.0002091382267697948,0.009414299136233834,0.39234713382754777,0.4099744226954972,0.5325703686415044,0.780505081500368,0.7896082203170538,6030,5729,2026-01
1768093200.0,1,2.3276230516253765e-05,0.00011386164049165404,0.3057662501585886,0.384793652372516,0.45972437449483783,0.7101583936607506,0.7064798562513344,4662,4751,2026-01
1768096800.0,2,0.005465963979963619,0.012830391521255785,0.38943033667036403,0.2759631562149869,0.4672666268860525,0.712698591509321,1.0180711401800868,4873,5840,2026-01
1768100400.0,3,0.0003824566057835437,0.0019257432037547476,0.347750292197393,0.26977675870759765,0.4403855551605405,0.7352819376663537,1.1037651755749887,4744,5691,2026-01
1768104000.0,4,0.019575056044651856,0.00215517352551713,0.36579726736663704,0.32180948443147195,0.46092272743051865,0.7040896232060112,0.6346597423948465,4808,4101,2026-01
1768107600.0,5,0.02164564645203769,0.024567412785371032,0.3510468728113238,0.3026214272569454,0.4329814592466757,0.6534932065416825,0.7690744729877377,4268,4555,2026-01
1768111200.0,6,0.008154235503424671,0.0007861304663022856,0.3874927333765947,0.3851401560325147,0.5079479359806749,0.6257545496459577,1.1299661922488067,4692,7652,2026-01
1768114800.0,7,1.8886506791378193e-05,5.953587802493144e-05,0.2128613415521669,0.2415615641444428,0.3810390751669177,0.6971404477180116,1.021991271862591,4070,5136,2026-01
1768118400.0,8,0.0017701067009265182,0.013527822193894935,0.44957688234683874,0.5053146643489164,0.5657053393115219,0.9347317250928623,0.8706751536829799,7113,7398,2026-01
1768122000.0,9,0.0033004664275663315,0.006118273768600618,0.4362865640069086,0.47505193405333146,0.5316418357841696,0.7321596308574555,0.8169739139755032,5204,6386,2026-01
1768125600.0,10,0.0004590980936369863,0.00691523848523655,0.22134872093129185,0.3027537478072053,0.4096345704229332,0.8421003131674525,0.7563809616984464,4375,4722,2026-01
1768129200.0,11,1.3230703226707372e-05,0.005469586520869734,0.23564259278948516,0.21772228249264622,0.43377046570234973,0.852095610270652,0.738656460030967,4530,4771,2026-01
1768132800.0,12,0.0025063807804558916,0.021959815626470074,0.5109362774942905,0.40126979283165726,0.5467600491226665,0.9809488690157164,0.8873970981760897,7806,6724,2026-01
1768136400.0,13,0.0028443844975883786,0.00022225233005779814,0.3087646488522765,0.43604357814123673,0.4871562263128669,1.0294864108803332,1.0548532456775166,5880,7472,2026-01
1768140000.0,14,0.009143225479038938,0.021147585213901438,0.5499327362593273,0.4446548381415474,0.5849838335833741,1.1723665112488777,0.9992673428185441,10245,8144,2026-01
1768143600.0,15,0.0025380856310211965,0.0013403945744527928,0.5884971772818295,0.5674782471403563,0.7919546744620917,1.1950167582896665,1.160382498612325,12517,20469,2026-01
1768147200.0,16,0.010610984929653124,0.009138498942198,0.63414590336571,0.500340257607279,0.8297338379089158,1.0769261663137581,0.6902222860402759,15335,15639,2026-01
1768150800.0,17,0.00011490489053766593,0.0019809476472532703,0.5290129728364428,0.5696403810382076,0.6510397926531134,0.7980812538915817,0.7739800867209718,7388,8059,2026-01
1768154400.0,18,0.0037869957883393244,0.010836442238842055,0.48200970378709074,0.4948937982132293,0.572264349577667,0.7074025440024856,0.8229958555052117,5872,7022,2026-01
1768158000.0,19,0.006255821496441506,0.0005373138752418439,0.4395529204185494,0.5545318710051269,0.5934258171396638,0.7677201996678817,0.8045889033389236,5595,7179,2026-01
1768161600.0,20,0.017635202915438113,0.010999099400107851,0.7030387206685939,0.7451872130369616,0.8001152204451384,0.9047500007940286,0.7471243436515548,13972,13909,2026-01
1768165200.0,21,0.008837683587713087,0.007269553800629914,0.6554459693674016,0.6464403134465067,0.7097991785611061,0.744704863953745,0.623818858473843,9354,7473,2026-01
1768168800.0,22,0.012358209821207684,0.010843534683529292,0.6434973741633999,0.7257338048035353,0.7702143642392922,0.7039780225151683,0.6132835031669589,8698,10002,2026-01
1768172400.0,23,0.012330516961530726,0.01260470737198495,0.8271147592300967,0.816919356412768,0.8792400271908125,0.8095236377376572,0.6836998944360493,24311,20044,2026-01
1768176000.0,0,0.009908820770065625,0.008177104696664524,0.8226223533444298,0.8097475594837795,0.8640159463354843,0.9317001175551101,0.9283905953717809,24541,24717,2026-01
1768179600.0,1,0.01341621073169443,0.025493783346234426,0.849581690444206,0.8465647455013978,0.9037338912206614,0.8576336956255021,0.8326361600466091,31197,32047,2026-01
1768183200.0,2,0.020320883733688337,0.024347829273701407,0.8331360577912972,0.7790961020538532,0.87694728457049,1.0187520914049708,0.8796496845199663,31373,21342,2026-01
1768186800.0,3,0.018134741941587564,0.01889798248014864,0.7628133790080307,0.8060695059555876,0.8336850286877896,1.1167202235673441,1.0315778096009167,21388,24253,2026-01
1768190400.0,4,0.004063798938723714,0.008246686126798195,0.7143628666577658,0.6867918445794394,0.7462988884062197,0.9679744503264268,0.7720343542946907,13610,10424,2026-01
1768194000.0,5,0.008799871246979259,0.0022498045699113622,0.5948247177651838,0.6584419427541829,0.7032597149550087,0.7192509951758239,0.6430681074356408,7697,7876,2026-01
1768197600.0,6,0.010236136365954688,0.004215676252095632,0.5842440408437664,0.6592550010383491,0.693385771309637,0.8212240489272911,0.7911407098567018,8594,9637,2026-01
1768201200.0,7,0.020386550422705183,0.009961376260923716,0.6610737476376347,0.7330671546360362,0.7665059599681459,0.9912212189200309,1.027928415516345,13200,16567,2026-01
1768204800.0,8,0.030183509000859657,0.013603322422674063,0.749484270739984,0.8450501704444057,0.8647605256685893,1.3378773986629127,1.24673082071381,30879,34200,2026-01
1768208400.0,9,0.007860288433707733,0.011493749514426162,0.7343773947362403,0.704429680951868,0.7581560062720418,1.0009602159906636,1.1330183935966849,15358,15608,2026-01
1768212000.0,10,0.012325622292761532,0.006712196396174608,0.6108724702296551,0.7334521631290595,0.7545689460532682,1.1066679149336578,0.8366966717464733,11390,12477,2026-01
1768215600.0,11,0.013662736612954252,0.012421547970821031,0.6125994573725277,0.6150356646946928,0.6599692001423099,1.2573049471136986,0.9008868685119079,12654,9808,2026-01
1768219200.0,12,0.001025580317081438,0.0013481942843550057,0.5283265105990026,0.5079129559452427,0.5587651087578457,1.2706402205023408,0.9459591872053861,10313,7693,2026-01
1768222800.0,13,0.016917696326156112,0.0076814774582693755,0.6093976443188717,0.662616698703165,0.7051019245511991,1.0899069261730134,0.9396959068843355,11109,11851,2026-01
1768226400.0,14,0.02462288429430765,0.019193970209551714,0.8364223264005914,0.8479469790113456,0.8917503609785743,1.3710719822988002,1.104409663653562,42118,39006,2026-01
1768230000.0,15,0.011370073840262306,0.013285315845370503,0.8766121482338929,0.8355722443729919,0.8929960647859825,1.247463521375741,1.2539683994051902,41038,36894,2026-01
1768233600.0,16,0.013703412644796081,0.024444761560438965,0.8322956678202371,0.7927954352165746,0.866671374805508,1.3186696532263102,1.626286248072751,39144,39279,2026-01
1768237200.0,17,0.023310720328392143,0.014620092040619611,0.8274316828652689,0.8672304476166179,0.9009270260548887,1.0222698824805083,1.1693245227153855,35029,40868,2026-01
1768240800.0,18,0.007557585654283377,0.009006343203164745,0.8257615582827909,0.7640852108208861,0.8551266734722731,0.8420579188750511,0.9423366917174572,21625,18537,2026-01
1768244400.0,19,0.013020775401776277,0.02204176825182736,0.7624554467066025,0.6685944354514001,0.7966212003331296,0.7336339265211402,0.8426092075865602,13617,11285,2026-01
1768248000.0,20,0.010225908205096942,0.014093999216223016,0.741923306392959,0.7608006469475781,0.7946156492414089,0.7649476689284658,0.7864992506328282,12720,14188,2026-01
1768251600.0,21,0.017300569523093366,0.0077063892331416355,0.7046743298038204,0.8005678471053603,0.8253143758912861,0.8200813059348572,0.7627796415114574,12410,16396,2026-01
1768255200.0,22,0.012599444028354223,0.00847084803657541,0.7424211071558224,0.7133307298033172,0.7783248202061117,0.7841164709708993,0.7114753285458729,13133,10428,2026-01
1768258800.0,23,0.0050716631498565505,0.012462254968072425,0.6296689256330271,0.6595046378546486,0.7010751488899767,0.7592058699537548,0.6541407604730008,9006,8014,2026-01
1768262400.0,0,0.00748588173029608,0.016663836821311395,0.7271006445262644,0.7091242222889413,0.7801842086234226,0.8238161625017835,0.7381815936183691,13390,11274,2026-01
1768266000.0,1,0.002474610167648484,0.0007011447869830912,0.6827981429757471,0.761576171225506,0.7846673438286503,0.7843921561502274,0.679105377820289,10747,11569,2026-01
1768269600.0,2,0.00272786684249832,0.0005017060043099006,0.6005294380185257,0.6719542275499686,0.7057891780024131,0.8143395100598394,0.6845855548774142,8973,8480,2026-01
1768273200.0,3,0.006303275436403349,0.007943380733703003,0.6528911625867395,0.6288355147770259,0.7116001686588712,0.8802018043303114,0.6559358888022904,11103,7308,2026-01
1768276800.0,4,0.0013228952143479345,0.013675820837408943,0.6737609027097774,0.6240095971185917,0.7149765324106281,0.7561828916350669,0.6743499960267476,9576,7703,2026-01
1768280400.0,5,0.012519484277591243,0.02789253768072837,0.8290000306057795,0.7562117360959362,0.8699646682660432,0.9047575774972921,1.0663207882119812,26183,22993,2026-01
1768284000.0,6,0.01021421257376314,0.017601570524921558,0.7692181332484627,0.7336636791030764,0.7968449875508029,0.8909132668824861,0.9597243209663484,16269,15308,2026-01
1768287600.0,7,0.00345688749517505,0.006924324154719574,0.6520441159528164,0.624010092665069,0.7012897561628086,1.0867144910961404,1.1705148117258417,13243,12151,2026-01
1768291200.0,8,0.0019784575475880087,0.013764365408880713,0.628643485425296,0.5410971118581266,0.6655629515173066,1.1624161780192857,1.0765618990098424,12595,9554,2026-01
1768294800.0,9,0.014919286728603378,0.02372179904572033,0.7951304449611866,0.7639477408075744,0.8408511616680676,1.3991540036809678,1.4085437367678038,32589,29068,2026-01
1768298400.0,10,0.007643269803753306,0.007867989120643267,0.6179667150541095,0.646377255667211,0.680072014709323,1.1234595929433524,1.1698350981449075,11932,13433,2026-01
1768302000.0,11,0.005662931531888526,0.01926566163433917,0.6043771428911344,0.6200956103911013,0.6512146098593997,1.0060105171447167,1.0176517403917056,10127,10844,2026-01
1768305600.0,12,0.01799542907738132,0.025111382501412382,0.5868815736625058,0.5505211639827852,0.629725505488662,1.0452060045644802,1.0479763297676288,10361,9897,2026-01
1768309200.0,13,0.0332855928213549,0.04392832136990226,0.7957475857480262,0.8043096190080027,0.8709727487367728,1.1688328368722567,1.0906871541599223,30909,31912,2026-01
1768312800.0,14,0.023449160140439795,0.03027946785702347,0.8494293584489195,0.8184527909913938,0.887026514564634,1.4203527772575044,1.5642337763080962,46938,44916,2026-01
1768316400.0,15,0.037270290051359,0.026675235017403306,0.8546621875951098,0.797677478251779,0.8951297638130643,1.435664184740854,1.8186698037754092,58644,47639,2026-01
1768320000.0,16,0.027617327097186155,0.03346748823402919,0.7941494607899814,0.7651978360058783,0.8519642181853873,1.7669095663100443,2.2083047614744307,46607,46158,2026-01
1768323600.0,17,0.027979253626087292,0.02484925619105093,0.8032058878302181,0.7947268689464632,0.8552134258687502,1.1027447774767822,1.415501643584775,30472,31403,2026-01
1768327200.0,18,0.03759498234671553,0.026450567530334507,0.8035446536394201,0.7780605258876109,0.8675532346340551,1.0007122260430614,1.3255195961661321,31197,28565,2026-01
1768330800.0,19,0.027631393460614263,0.03202610597309581,0.8165590876586615,0.7308503089548352,0.8623471147211721,1.05771517531402,1.4529512847302466,31614,26168,2026-01
1768334400.0,20,0.03593652737304651,0.03289296280735069,0.7938251381363842,0.7785350168736593,0.86693018047378,1.161697042569993,1.858439542633899,37337,41122,2026-01
1768338000.0,21,0.03116866197249093,0.020049428691491712,0.6919306360658577,0.7514433315348483,0.8015650439865507,0.942915741791734,1.4024773787137947,19457,23524,2026-01
1768341600.0,22,0.058955038964459854,0.04370960347447235,0.8345152692493865,0.7923839198168561,0.9437870333015196,1.349216549088753,1.8537957236648712,92925,70548,2026-01
1768345200.0,23,0.02413236470057974,0.026545806891826073,0.7424532128099286,0.7348227147386683,0.8023533445544111,1.385336060217967,1.813725939690056,26796,30134,2026-01
1768348800.0,0,0.027424963084239626,0.028352062480172524,0.7115327470800107,0.7224988698940435,0.7930693462284717,1.1513136137789721,1.373596753149101,21273,22225,2026-01
1768352400.0,1,0.02283825608666952,0.0360671129302379,0.7227604047401043,0.7322018835346,0.7974384998824813,1.0376856747305665,1.1002915963484072,18443,19546,2026-01
1768356000.0,2,0.05130020931841108,0.029723703874274577,0.7061957371191282,0.670475568008532,0.7778030256858653,0.892418273623256,1.0099305641966645,16042,14084,2026-01
1768359600.0,3,0.04239148446521803,0.0170243304324581,0.651639098020792,0.5826210670215748,0.7034677857782751,0.9731045641172855,1.027405498000417,12962,10154,2026-01
1768363200.0,4,0.024322326126648905,0.024745746869430985,0.6353627096659797,0.7113718287147647,0.7551653913187549,1.1080870761177188,0.9637838046669199,13663,14972,2026-01
1768366800.0,5,0.03658771566962725,0.030974706363476375,0.6655791812691523,0.6780947796604899,0.7373462879769436,1.1726201023080516,1.3988346384122687,16883,18174,2026-01
1768370400.0,6,0.030175989639543693,0.027599629493261904,0.6956849417009054,0.7254409869214353,0.7729823780089872,1.3224814142851054,1.4796196306890221,21279,23195,2026-01
1768374000.0,7,0.02298426424892444,0.02611212128174923,0.677107376195922,0.6421176611647119,0.7437297613713284,1.2527954124456744,1.4878257051550718,19000,17062,2026-01
1768377600.0,8,0.031441928656460935,0.027286893288492764,0.5824145761216378,0.6209719631390894,0.676106895923625,1.0686646058656073,1.0942492157801542,11905,12095,2026-01
1768381200.0,9,0.027459631334509193,0.034253714773587754,0.6740987742395587,0.6326868564336633,0.730349893319369,1.1413030717014223,1.0372482022977274,15765,12274,2026-01
1768384800.0,10,0.02793359791372278,0.0332179887017296,0.6915631550096978,0.6881080510440851,0.7491854272875215,1.1485203813796279,1.2187998597656002,16091,17832,2026-01
1768388400.0,11,0.022705471522816496,0.026367079281496616,0.632950448282405,0.6728362676478428,0.7264855062178017,1.197267847949865,1.2612054322656505,14347,17285,2026-01
1768392000.0,12,0.03194834703493302,0.03394068064384792,0.6849201375212022,0.6711241043022738,0.7545262319430549,1.10399391965791,1.111737951280053,16284,16044,2026-01
1768395600.0,13,0.019034278379214068,0.02306256328382349,0.7023986348811023,0.6819559643921074,0.7430150809309822,1.1361604028654928,1.226033367177839,16482,16297,2026-01
1768399200.0,14,0.03843558924237777,0.03450454241324166,0.8567812779976609,0.7989760255879069,0.9089116644780472,1.6479054387148997,1.8096812312665274,78038,60175,2026-01
1768402800.0,15,0.03800705098885217,0.017282358263336628,0.7953230791309422,0.7880022397014648,0.8726987726657961,2.3899242350039356,2.377377531550402,71291,62197,2026-01
1768406400.0,16,0.024755619244206117,0.022450650170421093,0.7905608483502726,0.7701260690042298,0.8561235597011356,2.2879317215752613,2.2977687412447216,58380,50793,2026-01
1768410000.0,17,0.021035931089651683,0.018795616016721042,0.7842463098477382,0.7937347526917676,0.8531911718342472,1.7272886832001844,2.004799153553171,44788,47789,2026-01
1768413600.0,18,0.026506643603308587,0.01683165937010063,0.8015757104920573,0.8164287295760977,0.8700670758730039,1.2914188068944796,1.2920554320095512,35472,35777,2026-01
1768417200.0,19,0.019366513284419542,0.023975904212628477,0.8230629874367846,0.7739157080103222,0.8731192746119899,1.1251189585061052,1.171589812912258,33179,27309,2026-01
1768420800.0,20,0.004915729966185236,0.002799315583281332,0.8362158633313734,0.8092635053851644,0.8681752386746265,1.2726365242825466,1.2730733635093128,36444,31427,2026-01
1768424400.0,21,0.014753310077250024,0.01399038358974644,0.7185265542421934,0.7147016770411909,0.7853750035866758,0.9207244987813497,0.955917936462865,16060,15079,2026-01
1768428000.0,22,0.01578454075870447,0.016427181217137838,0.720068792704204,0.7988179515976777,0.8261217574795406,1.0283221785708172,1.0652845426690871,18054,22852,2026-01
